state,plan_count,plan_rating_area_count,issuer_count,rating_area_count,median_age40_premium,p10_age40_premium,p90_age40_premium,median_individual_deductible,median_individual_moop,lowest_silver_median_age40_premium,lowest_silver_p10_age40_premium,lowest_silver_p90_age40_premium,hsa_plan_share,national_network_share
NH,46,46,4,1,449.515,338.41999999999996,666.845,5950.0,8775.0,388.0,388.0,388.0,0.391304347826087,0.0
IA,121,535,6,7,511.81,373.52000000000004,722.5500000000001,5500.0,8900.0,476.17,455.322,494.65999999999997,0.3813084112149533,0.044859813084112146
ND,59,167,3,4,550.63,381.776,703.446,4750.0,9000.0,479.53,441.14300000000003,569.7660000000001,0.4311377245508982,0.47904191616766467
HI,17,17,2,1,559.41,434.398,695.66,3000.0,8900.0,532.95,532.95,532.95,0.29411764705882354,0.4117647058823529
MI,116,892,7,16,573.71,430.903,843.626,6000.0,8900.0,478.20500000000004,433.605,632.44,0.40919282511210764,0.16031390134529147
IN,80,883,5,17,584.71,428.83,891.6,5500.0,8850.0,469.04,453.51,500.776,0.319365798414496,0.0
SC,125,2518,6,46,599.22,457.481,773.1050000000001,6000.0,8900.0,551.64,497.52,606.87,0.37926926131850675,0.16441620333598095
OH,189,2019,11,17,599.85,455.082,839.3820000000001,5500.0,9000.0,519.24,491.13800000000003,542.47,0.35066864784546803,0.0
SD,67,156,3,4,605.63,433.095,785.33,6000.0,9000.0,530.135,516.671,692.384,0.3717948717948718,0.5384615384615384
OR,59,356,6,7,606.975,497.5,776.495,6100.0,8950.0,522.45,512.94,573.6,0.3792134831460674,0.5112359550561798
AZ,199,423,7,7,646.61,449.562,1039.9660000000001,6000.0,8900.0,651.86,458.21000000000004,871.9920000000001,0.3380614657210402,0.0
OK,186,396,7,5,647.355,492.355,850.105,5000.0,8900.0,568.33,561.838,667.7479999999999,0.34595959595959597,0.0
WI,311,974,12,16,650.48,479.085,862.0530000000002,5000.0,8900.0,612.855,541.87,664.22,0.4271047227926078,0.0
MO,117,537,8,10,655.59,503.336,806.198,4900.0,8900.0,648.015,566.93,750.625,0.37057728119180633,0.0
TX,834,2263,18,27,666.23,474.98400000000004,854.83,4000.0,9000.0,652.92,583.13,773.5540000000001,0.28634555899248787,0.0
AL,54,530,4,13,682.6,456.105,848.846,3700.0,8900.0,632.79,598.216,668.568,0.3283018867924528,0.2981132075471698
NC,206,944,6,16,692.21,529.807,915.666,5000.0,10000.0,644.725,558.8050000000001,791.6700000000001,0.4036016949152542,0.13347457627118645
MT,90,150,3,4,702.69,497.919,836.902,6000.0,8900.0,682.025,582.2,729.987,0.38666666666666666,0.21333333333333335
MS,48,274,5,6,710.735,606.51,990.489,4500.0,9300.0,637.0450000000001,614.035,657.835,0.3722627737226277,0.0
LA,100,362,6,8,710.9200000000001,499.115,994.0480000000001,4000.0,9600.0,679.55,570.131,707.987,0.3839779005524862,0.43646408839779005
KS,64,262,6,7,715.7149999999999,495.71700000000004,866.106,4000.0,8900.0,609.77,568.374,742.192,0.4122137404580153,0.0
TN,158,449,6,8,718.48,552.25,840.96,5000.0,9600.0,699.3050000000001,661.895,777.192,0.38084632516703787,0.0
AR,52,364,6,7,719.85,500.41,851.02,6000.0,8900.0,752.74,752.74,752.74,0.28846153846153844,0.07692307692307693
DE,40,40,3,1,742.015,574.153,821.905,2900.0,8700.0,685.23,685.23,685.23,0.375,0.375
UT,57,196,6,6,747.595,529.7,1090.855,5900.0,8900.0,677.765,567.7,841.4,0.29081632653061223,0.0
FL,410,7569,16,67,780.17,592.0980000000001,1358.2399999999998,4000.0,8900.0,669.18,608.454,815.9440000000001,0.33359756903157617,0.2277711718853217
NE,164,374,5,4,829.23,622.549,1149.3899999999999,3525.0,8900.0,718.3299999999999,652.484,804.861,0.3609625668449198,0.0481283422459893
AK,15,45,2,3,918.0,686.484,1044.374,5500.0,8200.0,1010.0,989.392,1030.4,0.4,0.4666666666666667
WV,37,407,2,11,1007.6,792.6560000000001,1174.2359999999999,3800.0,9200.0,1055.63,911.18,1116.74,0.2702702702702703,0.40540540540540543
WY,23,69,2,3,1049.62,866.538,1156.7379999999998,4000.0,9400.0,1072.19,1035.462,1096.7820000000002,0.34782608695652173,0.4782608695652174
